timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-15 21:26:32.908046,MathExpert,o3-mini,1184,714,1898,0.0
2025-12-15 21:26:51.790287,MathExpert,o3-mini,2036,827,2863,0.0
2025-12-15 21:27:02.256671,LiteratureReviewExpert,gpt-4.1-mini,3618,140,3758,0.0
2025-12-15 21:27:17.504413,MathExpert,o3-mini,2693,635,3328,0.0
2025-12-15 21:27:32.774994,MathExpert,o3-mini,3194,472,3666,0.0
2025-12-15 21:28:11.393497,DiscoveryScientist,gpt-4.1,40050,2862,42912,142.4464089870453
2025-12-15 21:29:02.483690,NetworkScientist,gpt-4.1,14762,2856,17618,0.0
2025-12-15 21:30:10.864711,ModelerScientist,gpt-4.1,25286,2496,27782,0.0
2025-12-15 21:31:06.278017,ParameterScientist,gpt-4.1,29539,2567,32106,0.0
2025-12-15 21:32:53.607923,Vision Expert,gpt-4.1-mini,1610,481,2091,0.0
2025-12-15 21:33:00.593268,SimulationScientist,gpt-4.1,78030,7585,85615,0.0
2025-12-15 21:34:14.961540,Vision Expert,gpt-4.1-mini,1631,515,2146,0.0
2025-12-15 21:34:29.847784,DataExpert,gpt-4.1-mini,10253,2094,12347,0.0
2025-12-15 21:34:36.405558,DataExpert,gpt-4.1-mini,13771,2248,28366,0.0
2025-12-15 21:35:44.718229,DataScientist,gpt-4.1,28052,3759,31811,0.0
