timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-27 17:36:39.201028,LiteratureReviewExpert,gpt-4.1-mini,2218,654,2872,0.0
2025-11-27 17:36:41.775114,LiteratureReviewExpert,gpt-4.1-mini,4218,535,4753,0.0
2025-11-27 17:37:06.939874,MathExpert,o3-mini,2394,589,2983,0.0
2025-11-27 17:37:35.454069,DiscoveryScientist,gpt-4.1,29120,3655,32775,86.23531174659729
2025-11-27 17:38:02.059074,ModelerScientist,gpt-4.1,26111,2061,28172,0.0
2025-11-27 17:38:55.872347,NetworkScientist,gpt-4.1,82856,6137,88993,0.0
2025-11-27 17:39:40.336738,ParameterScientist,gpt-4.1,56174,3969,60143,0.0
2025-11-27 18:23:57.118398,Vision Expert,gpt-4.1-mini,16216,704,16920,0.0
2025-11-27 18:24:03.698388,SimulationScientist,gpt-4.1,199415,11441,210856,0.0
2025-11-27 18:24:49.359661,Vision Expert,gpt-4.1-mini,16241,1273,17514,0.0
2025-11-27 18:25:22.942945,DataExpert,gpt-4.1-mini,64232,3300,67532,0.0
2025-11-27 18:25:55.608448,DataScientist,gpt-4.1,47201,4395,51596,0.0
