timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-05 18:24:45.560930,LiteratureReviewExpert,gpt-4.1-mini,3950,128,4078,0.0
2025-12-05 18:24:54.631383,LiteratureReviewExpert,gpt-4.1-mini,8952,967,9919,0.0
2025-12-05 18:25:35.153766,MathExpert,o3-mini,6517,3035,9552,0.0
2025-12-05 18:26:50.315959,MathExpert,o3-mini,2658,1032,3690,0.0
2025-12-05 18:27:20.808113,DiscoveryScientist,gpt-4.1,30622,3363,33985,190.53029561042786
2025-12-05 18:29:17.307343,ModelerScientist,gpt-4.1,33676,3105,36781,0.0
2025-12-05 18:30:03.650972,NetworkScientist,gpt-4.1,33737,5426,39163,0.0
2025-12-05 18:31:36.186617,ParameterScientist,gpt-4.1,43520,5460,48980,0.0
2025-12-05 18:37:36.546066,Vision Expert,gpt-4.1-mini,5504,686,6190,0.0
2025-12-05 18:37:41.386290,SimulationScientist,gpt-4.1,208159,11705,219864,0.0
2025-12-05 18:38:55.544307,Vision Expert,gpt-4.1-mini,5496,1185,6681,0.0
2025-12-05 18:39:22.224244,DataExpert,gpt-4.1-mini,81178,3534,84712,0.0
2025-12-05 18:40:51.119991,DataScientist,gpt-4.1,37898,4669,42567,0.0
